user_id,anomaly_score_IF,anomaly_IF,anomaly_score_AE,anomaly_AE,is_anomaly,user_risk_grade,anomaly,critical_anomaly
10021379,-0.0980900766688431,-1,0.48267785,1,0,Medium Risk,-1,1
10021380,0.1401909493794687,1,0.08748196,1,2,Normal,1,1
10021381,0.172943201924244,1,0.048854508,1,2,Normal,1,1
10021382,0.140961427946302,1,0.09915226,1,2,Normal,1,1
10021383,0.0875813556822635,1,0.16877402,1,2,Normal,1,1
10021384,0.1454536077061431,1,0.047371317,1,2,Normal,1,1
10021385,-0.1234060246909988,-1,1.0966413,-1,-2,Critical Risk,-1,-1
10021386,0.1023760653646274,1,0.29715803,1,2,Normal,1,1
10021387,0.1489013407083317,1,0.08547829,1,2,Normal,1,1
10021388,-0.1703872760444278,-1,5.4396176,-1,-2,Critical Risk,-1,-1
10021389,0.0910994932936676,1,0.2943151,1,2,Normal,1,1
10021390,0.1044984126302198,1,0.14730304,1,2,Normal,1,1
10021391,0.1209843967088102,1,0.09999003,1,2,Normal,1,1
10021392,0.1725418721276057,1,0.049548816,1,2,Normal,1,1
10021393,0.1590941620023897,1,0.07703438,1,2,Normal,1,1
10021394,0.1222024249659617,1,0.23951814,1,2,Normal,1,1
10021395,0.1464058412965218,1,0.1189725,1,2,Normal,1,1
10021396,0.1432985948860032,1,0.120529234,1,2,Normal,1,1
10021397,-0.1054542596404605,-1,0.86032635,-1,-2,Critical Risk,-1,-1
10021398,0.1693573812973373,1,0.04242983,1,2,Normal,1,1
10021399,0.1699623046593607,1,0.046358064,1,2,Normal,1,1
10021400,0.1815922916492245,1,0.020273492,1,2,Normal,1,1
10021401,0.1749328278498804,1,0.044643153,1,2,Normal,1,1
10021402,0.1075146689837344,1,0.106721126,1,2,Normal,1,1
10021403,-0.1578561373488384,-1,1.1376269,-1,-2,Critical Risk,-1,-1
10021404,0.0801405659262416,1,0.17569874,1,2,Normal,1,1
10021405,0.1184049133984845,1,0.15297663,1,2,Normal,1,1
10021406,-0.120151756025458,-1,0.5737691,-1,-2,Critical Risk,-1,-1
10021407,0.0478013116034434,1,0.11258439,1,2,Normal,1,1
10021408,0.1727202650644632,1,0.034616567,1,2,Normal,1,1
10021409,0.1705154608954996,1,0.028368473,1,2,Normal,1,1
10021410,0.1547191117074715,1,0.12172327,1,2,Normal,1,1
10021411,0.1288028268627545,1,0.123381354,1,2,Normal,1,1
10021412,0.1302933914120325,1,0.074353285,1,2,Normal,1,1
10021413,0.1612215856244108,1,0.06696565,1,2,Normal,1,1
10021414,0.1504252093056113,1,0.09858996,1,2,Normal,1,1
10021415,0.0152037773838915,1,0.29206246,1,2,Normal,1,1
10021416,0.1597231704113522,1,0.051436875,1,2,Normal,1,1
10021417,0.1206297710204263,1,0.10147355,1,2,Normal,1,1
10021418,0.1859125732109015,1,0.023062384,1,2,Normal,1,1
10021419,0.1669526252361762,1,0.049148113,1,2,Normal,1,1
10021420,0.1496893400221322,1,0.06633389,1,2,Normal,1,1
10021421,-0.1221610334434089,-1,0.9126792,-1,-2,Critical Risk,-1,-1
10021422,0.1764451623598187,1,0.019230641,1,2,Normal,1,1
10021423,0.0316511418315277,1,0.20720665,1,2,Normal,1,1
10021424,0.1261482564932904,1,0.10405161,1,2,Normal,1,1
10021425,0.1678315891923086,1,0.061372355,1,2,Normal,1,1
